package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
ru.otus.marketsample.common.DiscountBadge,DiscountBadge,1,1,1,0,0,0,0,0,1,3,
ru.otus.marketsample.common.ErrorHandler,ErrorHandler,1,1,1,0,0,0,0,0,1,2,
ru.otus.marketsample.common.Loader,Loader,1,1,1,0,0,0,0,0,1,1,
ru.otus.marketsample.details.feature.compose.ProductDetailsScreen,ProductDetailsScreen,1,1,1,0,0,0,0,0,1,4,
ru.otus.marketsample.navigation.BottomNavigationNavGraph,BottomNavigationNavGraph,1,1,1,0,0,0,0,0,1,1,
ru.otus.marketsample.navigation.MainScreen,MainScreen,1,1,1,0,0,0,0,0,1,4,
ru.otus.marketsample.navigation.MarketSampleNavigationBar,MarketSampleNavigationBar,1,1,1,0,0,0,0,0,1,2,
ru.otus.marketsample.navigation.MarketSampleNavGraph,MarketSampleNavGraph,1,1,1,0,0,0,0,0,1,1,
ru.otus.marketsample.products.feature.compose.ProductItem,ProductItem,1,1,1,0,0,0,0,0,1,1,
ru.otus.marketsample.products.feature.compose.PriceBadge,PriceBadge,1,1,1,0,0,0,0,0,1,2,
ru.otus.marketsample.products.feature.compose.ProductListScreen,ProductListScreen,1,1,1,0,0,0,0,0,1,4,
ru.otus.marketsample.promo.feature.compose.PromoItem,PromoItem,1,1,1,0,0,0,0,0,1,1,
ru.otus.marketsample.promo.feature.compose.PromoListScreen,PromoListScreen,1,1,1,0,0,0,0,0,1,4,
ru.otus.marketsample.utils.daggerViewModel,daggerViewModel,1,0,0,0,1,0,0,0,1,1,
